sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,3,VO,-1,Concordia Parish County,22029,-1,-1,37,-1,6,41,2.2,80,240,237,9.3,4.3,5,62,24,8,0,35,11,54,28,97,70,8,38,70,46,47,100,28,3,59,30,8,0,86,86,0,0,0,8,43,100,108,30,27,43,27,47,32,47,-1,-1,-1,-1,-1,LA,-1,-1,concordia parish la,14,86,14,0,0
9,3,VO,-1,De Soto Parish County,22031,-1,-1,164,-1,5,9,2.8,467,236,360,9.8,3.4,15,46,23,12,5,36,16,48,23,99,76,8,54,91,62,23,88,13,2,65,17,15,2,78,78,0,0,0,5,65,99,132,18,26,55,21,58,29,52,-1,-1,-1,-1,-1,LA,-1,-1,de soto parish la,22,78,22,0,0
9,3,VO,-1,East Baton Rouge Parish County,22033,-1,-1,2508,-1,6,16,3.2,8120,270,562,11.9,3.7,18,33,21,15,13,43,9,44,22,96,75,24,49,95,72,23,72,11,3,72,17,8,0,96,95,0,0,1,36,65,97,179,6,28,66,18,69,27,49,-1,-1,-1,-1,-1,LA,-1,-1,east baton rouge parish la,4,96,4,0,0
9,3,VO,-1,East Carroll Parish County,22035,-1,-1,135,-1,4,16,3.8,516,192,319,9.1,2.4,32,30,21,13,4,45,39,16,23,93,70,24,64,99,88,4,33,2,7,79,7,7,1,97,96,0,0,1,18,73,100,142,3,12,85,12,81,48,46,-1,-1,-1,-1,-1,LA,-1,-1,east carroll parish la,3,97,3,0,0
9,3,VO,-1,East Feliciana Parish County,22037,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,east feliciana parish la,-4,-4,-4,0,0
9,3,VO,-1,Evangeline Parish County,22039,-1,-1,253,-1,4,15,2.8,709,183,284,8.6,3.1,19,51,21,9,0,24,3,73,25,98,73,22,47,85,62,33,68,17,3,63,17,16,1,74,73,0,0,1,46,72,100,81,6,34,61,28,41,38,51,-1,-1,-1,-1,-1,LA,-1,-1,evangeline parish la,26,74,26,0,0
9,3,VO,-1,Franklin Parish County,22041,-1,-1,13,-1,14,46,3.8,50,238,262,10.7,2.8,8,38,38,8,8,54,15,31,28,100,54,15,69,100,85,17,0,4,0,85,8,8,0,54,54,0,0,0,5,30,100,98,8,38,54,8,36,27,47,-1,-1,-1,-1,-1,LA,-1,-1,franklin parish la,46,54,46,0,0
9,3,VO,-1,Grant Parish County,22043,-1,-1,93,-1,4,38,2.8,256,234,278,10.3,3.7,10,40,38,12,1,39,18,43,26,99,62,18,53,67,53,28,38,13,11,61,14,14,1,41,40,1,0,0,33,34,99,105,17,41,42,5,33,25,50,-1,-1,-1,-1,-1,LA,-1,-1,grant parish la,59,41,59,0,0
9,3,VO,-1,Iberia Parish County,22045,-1,-1,448,-1,5,14,2.9,1292,251,310,10.2,3.5,10,49,24,12,6,41,16,44,26,96,68,13,59,93,70,22,67,11,6,68,16,9,0,87,87,0,0,0,39,61,100,110,9,51,40,19,48,29,47,-1,-1,-1,-1,-1,LA,-1,-1,iberia parish la,13,87,13,0,0
9,3,VO,-1,Iberville Parish County,22047,-1,-1,151,-1,5,18,2.7,413,201,262,9.3,3.4,22,44,21,9,4,34,1,63,25,97,66,15,52,85,60,27,30,12,11,57,19,13,1,89,89,0,0,0,12,81,100,83,12,48,40,21,52,23,59,-1,-1,-1,-1,-1,LA,-1,-1,iberville parish la,11,89,11,0,0
9,3,VO,-1,Jackson Parish County,22049,-1,-1,23,-1,2,4,2.9,66,272,266,10.5,3.7,9,48,26,13,4,39,4,57,26,96,70,26,39,100,65,50,80,21,0,65,13,22,0,91,91,0,0,0,-2,55,100,97,4,22,74,30,41,26,57,-1,-1,-1,-1,-1,LA,-1,-1,jackson parish la,9,91,9,0,0
9,3,VO,-1,Jefferson Parish County,22051,-1,-1,1214,-1,4,49,2.9,3578,314,754,13.0,4.4,10,37,21,15,17,47,8,45,26,93,68,18,50,91,65,26,78,15,4,72,15,9,0,96,95,0,0,1,4,33,99,133,8,36,56,22,63,24,48,-1,-1,-1,-1,-1,LA,-1,-1,jefferson parish la,4,96,4,0,0
9,3,VO,-1,Jefferson Davis Parish County,22053,-1,-1,126,-1,7,17,3.1,396,190,355,9.0,2.9,21,44,25,10,0,58,1,41,24,100,71,17,67,94,81,16,93,9,6,69,13,11,0,83,82,1,0,0,30,84,100,153,6,23,71,8,27,24,47,-1,-1,-1,-1,-1,LA,-1,-1,jefferson davis parish la,17,83,17,0,0
9,3,VO,-1,Lafayette Parish County,22055,-1,-1,1309,-1,4,25,2.9,3785,237,372,10.6,3.7,16,41,23,13,7,38,8,51,22,97,75,16,53,87,65,24,70,13,7,66,13,14,1,82,79,0,0,3,18,54,100,72,11,40,48,19,53,26,45,-1,-1,-1,-1,-1,LA,-1,-1,lafayette parish la,18,82,18,0,0
9,3,VO,-1,Lafourche Parish County,22057,-1,-1,280,-1,4,26,2.1,574,243,320,10.3,5.0,10,47,28,9,6,29,7,63,26,98,68,7,43,91,49,36,59,23,16,50,13,21,3,66,65,0,0,1,8,59,100,89,23,51,26,28,28,22,54,-1,-1,-1,-1,-1,LA,-1,-1,lafourche parish la,34,66,34,0,0
9,3,VO,-1,La Salle Parish County,22059,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,la salle parish la,-4,-4,-4,0,0
9,3,VO,-1,Lincoln Parish County,22061,-1,-1,351,-1,9,30,2.8,984,221,299,9.5,3.4,24,38,24,8,6,52,4,44,22,96,77,16,60,91,73,12,63,7,17,68,8,7,1,96,96,0,0,0,8,48,100,81,11,49,39,10,63,36,41,-1,-1,-1,-1,-1,LA,-1,-1,lincoln parish la,4,96,4,0,0
9,3,VO,-1,Livingston Parish County,22063,-1,-1,85,-1,8,11,2.0,168,256,353,11.1,5.6,1,46,41,6,6,25,0,75,25,100,76,13,24,89,35,23,38,16,0,49,16,34,4,27,27,0,0,0,45,66,99,106,18,51,31,42,8,11,58,-1,-1,-1,-1,-1,LA,-1,-1,livingston parish la,73,27,73,0,0
9,3,VO,-1,Madison Parish County,22065,-1,-1,42,-1,6,17,3.2,135,323,262,11.5,3.6,12,40,24,12,12,57,0,43,31,88,55,29,48,88,71,18,100,8,5,62,24,10,0,100,98,0,0,2,27,55,100,169,14,19,67,12,94,49,45,-1,-1,-1,-1,-1,LA,-1,-1,madison parish la,0,100,0,0,0
9,3,VO,-1,Morehouse Parish County,22067,-1,-1,125,-1,6,14,3.0,371,262,290,10.7,3.6,3,48,34,13,2,46,3,51,30,97,52,18,59,98,77,18,18,6,6,78,7,9,0,65,64,0,1,0,35,56,97,90,2,30,68,23,46,28,54,-1,-1,-1,-1,-1,LA,-1,-1,morehouse parish la,35,65,35,0,0
9,3,VO,-1,Natchitoches Parish County,22069,-1,-1,660,-1,4,40,2.2,1440,232,278,9.4,4.3,13,53,23,8,3,36,14,50,29,95,67,7,45,85,50,25,63,16,23,47,14,16,1,78,75,0,0,3,6,36,100,107,30,42,29,18,40,26,39,-1,-1,-1,-1,-1,LA,-1,-1,natchitoches parish la,22,78,22,0,0
9,3,VO,-1,Orleans Parish County,22071,-1,-1,2110,-1,5,73,2.9,6128,331,933,12.4,4.3,22,32,17,13,16,40,4,48,23,93,70,20,45,90,63,17,67,11,2,74,14,10,1,99,89,0,0,9,26,15,96,137,15,35,50,15,83,31,34,-1,-1,-1,-1,-1,LA,-1,-1,orleans parish la,1,99,1,0,0
9,3,VO,-1,Ouachita Parish County,22073,-1,-1,2334,-1,5,29,2.7,6226,240,347,10.2,3.8,15,42,26,12,5,38,3,58,25,97,70,11,56,89,65,27,48,13,14,62,11,13,1,83,82,0,0,0,11,49,99,100,17,38,45,17,56,29,46,-1,-1,-1,-1,-1,LA,-1,-1,ouachita parish la,17,83,17,0,0
9,3,VO,-1,Plaquemines Parish County,22075,-1,-1,15,-1,7,80,1.6,24,322,646,10.5,6.6,0,47,53,0,0,0,0,100,25,100,73,0,27,80,27,100,100,67,13,40,27,20,0,33,33,0,0,0,0,9,100,85,20,53,27,47,12,9,53,-1,-1,-1,-1,-1,LA,-1,-1,plaquemines parish la,67,33,67,0,0
9,3,VO,-1,Pointe Coupee Parish County,22077,-1,-1,41,-1,5,29,3.3,134,239,394,11.2,3.5,20,37,20,15,10,46,2,46,21,100,78,17,56,93,68,23,100,11,0,83,12,5,0,95,95,0,0,0,18,75,98,107,2,34,63,24,59,28,62,-1,-1,-1,-1,-1,LA,-1,-1,pointe coupee parish la,5,95,5,0,0
9,3,VO,-1,Rapides Parish County,22079,-1,-1,1237,-1,5,31,2.7,3394,279,373,10.9,4.0,13,42,22,16,7,43,13,42,27,95,63,11,60,89,67,27,62,13,12,63,15,10,1,82,80,0,0,2,9,47,99,133,12,37,51,16,55,27,50,-1,-1,-1,-1,-1,LA,-1,-1,rapides parish la,18,82,18,0,0
9,3,VO,-1,Red River Parish County,22081,-1,-1,45,-1,7,4,3.0,135,203,238,11.8,4.0,16,38,22,11,13,53,2,42,32,84,53,22,40,93,58,8,44,6,2,49,29,20,2,78,78,0,0,0,78,123,100,89,2,36,62,22,55,35,48,-1,-1,-1,-1,-1,LA,-1,-1,red river parish la,22,78,22,0,0
9,3,VO,-1,Richland Parish County,22083,-1,-1,32,-1,6,31,3.2,103,200,207,9.0,2.8,13,41,44,3,0,38,6,56,25,100,69,9,56,84,59,4,33,3,9,66,6,19,3,88,81,0,3,3,3,57,100,86,22,59,19,3,53,30,56,-1,-1,-1,-1,-1,LA,-1,-1,richland parish la,12,88,12,0,0
9,3,VO,-1,Sabine Parish County,22085,-1,-1,97,-1,5,43,2.3,225,227,294,8.9,3.9,15,52,27,3,3,44,9,46,27,96,65,3,58,87,59,22,67,13,19,55,18,9,0,69,66,2,0,1,12,29,100,89,32,39,29,7,39,28,44,-1,-1,-1,-1,-1,LA,-1,-1,sabine parish la,31,69,31,0,0
9,3,VO,-1,St. Bernard Parish County,22087,-1,-1,40,-1,4,3,3.2,127,335,830,11.5,3.5,25,38,13,13,13,35,3,53,20,100,73,35,40,98,75,24,0,11,3,70,23,5,0,63,60,0,0,3,0,95,100,126,0,38,63,20,30,19,52,-1,-1,-1,-1,-1,LA,-1,-1,st. bernard parish la,37,63,37,0,0
9,3,VO,-1,St. Charles Parish County,22089,-1,-1,211,-1,4,23,2.7,562,264,455,12.3,4.6,10,36,25,15,13,50,1,47,25,98,72,14,55,94,68,19,43,11,4,72,13,11,0,87,85,0,0,1,29,65,100,90,16,49,35,18,35,13,64,-1,-1,-1,-1,-1,LA,-1,-1,st. charles parish la,13,87,13,0,0
9,3,VO,-1,St. Helena Parish County,22091,-1,-1,8,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,st. helena parish la,-4,-4,-4,0,0
9,3,VO,-1,St. James Parish County,22093,-1,-1,6,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,st. james parish la,-4,-4,-4,0,0
9,3,VO,-1,St. John The Baptist Parish County,22095,-1,-1,136,-1,7,43,3.1,426,248,795,12.2,3.9,21,38,14,16,12,38,0,52,22,96,74,24,55,99,78,21,100,10,3,78,13,6,0,98,96,0,0,1,55,42,99,149,1,36,63,18,54,16,72,-1,-1,-1,-1,-1,LA,-1,-1,st. john the baptist parish la,2,98,2,0,0
9,3,VO,-1,St. Landry Parish County,22097,-1,-1,598,-1,4,21,2.8,1672,239,296,9.6,3.4,16,45,25,11,3,39,26,35,23,98,75,9,59,94,67,24,73,14,13,62,14,11,1,87,87,0,0,1,22,46,100,102,6,50,45,25,54,34,48,-1,-1,-1,-1,-1,LA,-1,-1,st. landry parish la,13,87,13,0,0
9,3,VO,-1,St. Martin Parish County,22099,-1,-1,293,-1,5,39,2.9,843,214,323,9.6,3.3,17,47,23,10,3,38,16,47,21,99,86,8,68,95,74,17,66,10,24,59,8,10,1,89,88,0,0,0,6,38,100,82,8,44,48,24,44,24,53,-1,-1,-1,-1,-1,LA,-1,-1,st. martin parish la,11,89,11,0,0
9,3,VO,-1,St. Mary Parish County,22101,-1,-1,186,-1,8,26,2.3,420,260,253,10.1,4.5,9,49,28,12,2,34,3,63,30,94,58,10,43,90,51,34,63,21,10,51,17,22,2,72,69,1,0,2,8,54,99,98,15,55,30,28,33,21,47,-1,-1,-1,-1,-1,LA,-1,-1,st. mary parish la,28,72,28,0,0
9,3,VO,-1,St. Tammany Parish County,22103,-1,-1,215,-1,7,33,2.9,628,327,618,14.2,4.9,4,35,22,18,21,49,2,49,29,89,61,12,57,92,67,26,85,13,7,71,13,9,1,82,81,0,0,1,14,54,96,128,7,34,58,20,29,17,59,-1,-1,-1,-1,-1,LA,-1,-1,st. tammany parish la,18,82,18,0,0
9,3,VO,-1,Tangipahoa Parish County,22105,-1,-1,558,-1,6,20,2.9,1634,236,352,10.2,3.5,17,39,23,15,6,42,2,56,26,96,67,14,58,93,70,22,47,11,8,68,14,11,0,84,84,0,0,0,22,59,99,75,9,35,57,16,43,27,46,-1,-1,-1,-1,-1,LA,-1,-1,tangipahoa parish la,16,84,16,0,0
9,3,VO,-1,Tensas Parish County,22107,-1,-1,94,-1,6,16,3.4,315,246,251,10.6,3.2,15,41,18,18,7,49,21,30,29,89,61,27,52,93,76,11,80,7,7,73,14,5,1,98,98,0,0,0,3,64,100,139,6,29,65,13,36,22,40,-1,-1,-1,-1,-1,LA,-1,-1,tensas parish la,2,98,2,0,0
9,3,VO,-1,Terrebonne Parish County,22109,-1,-1,424,-1,5,19,2.7,1161,265,393,11.8,4.3,15,38,21,16,9,41,0,54,26,95,67,16,52,91,66,29,71,15,10,68,14,9,1,79,75,4,0,0,11,51,98,103,18,36,47,15,34,23,53,-1,-1,-1,-1,-1,LA,-1,-1,terrebonne parish la,21,79,21,0,0
9,3,VO,-1,Union Parish County,22111,-1,-1,86,-1,5,31,3.0,257,226,306,9.3,3.1,21,40,27,12,1,48,10,42,22,99,80,10,70,94,77,13,50,9,19,64,15,2,0,86,85,0,0,1,17,33,100,122,9,48,43,15,55,27,52,-1,-1,-1,-1,-1,LA,-1,-1,union parish la,14,86,14,0,0
9,3,VO,-1,Vermilion Parish County,22113,-1,-1,255,-1,4,33,2.7,692,229,270,9.6,3.5,14,53,20,9,4,44,15,41,25,96,73,13,56,88,64,19,86,13,14,57,15,15,0,69,68,0,0,1,16,25,100,78,15,43,42,19,38,32,51,-1,-1,-1,-1,-1,LA,-1,-1,vermilion parish la,31,69,31,0,0
9,3,VO,-1,Vernon Parish County,22115,-1,-1,90,-1,3,19,1.9,174,233,286,9.1,4.7,9,64,17,8,2,18,4,78,27,97,72,6,33,80,33,46,24,21,4,39,24,32,3,36,33,0,1,1,7,52,100,111,46,27,28,17,30,18,45,-1,-1,-1,-1,-1,LA,-1,-1,vernon parish la,64,36,64,0,0
9,3,VO,-1,Washington Parish County,22117,-1,-1,89,-1,9,13,3.2,289,229,328,8.7,2.7,28,42,19,9,2,30,4,63,23,97,73,12,66,93,76,29,83,12,4,74,15,7,1,84,84,0,0,0,44,56,100,95,2,29,69,26,37,27,59,-1,-1,-1,-1,-1,LA,-1,-1,washington parish la,16,84,16,0,0
9,3,VO,-1,Webster Parish County,22119,-1,-1,257,-1,4,28,2.5,641,239,305,9.6,3.9,20,40,26,10,4,41,19,39,23,98,73,10,59,93,67,19,23,9,13,58,13,16,2,73,73,0,0,0,8,55,99,97,15,39,46,22,39,22,53,-1,-1,-1,-1,-1,LA,-1,-1,webster parish la,27,73,27,0,0
9,3,VO,-1,West Baton Rouge Parish County,22121,-1,-1,172,-1,5,24,2.5,428,215,362,10.4,4.3,23,35,24,13,5,35,1,53,20,99,80,11,47,88,54,28,36,14,6,59,15,19,1,83,83,0,0,0,12,58,98,87,19,46,35,22,44,24,44,-1,-1,-1,-1,-1,LA,-1,-1,west baton rouge parish la,17,83,17,0,0
9,3,VO,-1,West Carroll Parish County,22123,-1,-1,61,-1,5,36,2.5,150,191,283,8.1,3.3,21,54,16,8,0,23,2,75,24,98,77,13,46,82,54,38,64,21,11,59,11,18,0,41,39,0,0,2,17,47,100,123,2,38,61,38,18,22,54,-1,-1,-1,-1,-1,LA,-1,-1,west carroll parish la,59,41,59,0,0
9,3,VO,-1,West Feliciana Parish County,22125,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,west feliciana parish la,-4,-4,-4,0,0
9,3,VO,-1,Winn Parish County,22127,-1,-1,87,-1,4,46,2.7,236,239,229,10.6,3.9,8,47,32,9,3,53,1,45,30,95,53,14,59,95,70,13,88,8,15,59,17,9,0,89,89,0,0,0,2,30,100,64,20,40,41,14,46,30,40,-1,-1,-1,-1,-1,LA,-1,-1,winn parish la,11,89,11,0,0
9,3,VO,-1,Missing County,22999,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,LA,-1,-1,nan la,-4,-4,-4,0,0
9,4,MR,-1,Acadia Parish County,22001,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,acadia parish la,-4,-4,-4,0,0
9,4,MR,-1,Allen Parish County,22003,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,allen parish la,-4,-4,-4,0,0
9,4,MR,-1,Ascension Parish County,22005,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,ascension parish la,-4,-4,-4,0,0
9,4,MR,-1,Assumption Parish County,22007,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,assumption parish la,-4,-4,-4,0,0
9,4,MR,-1,Avoyelles Parish County,22009,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,avoyelles parish la,-4,-4,-4,0,0
9,4,MR,-1,Beauregard Parish County,22011,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,beauregard parish la,-4,-4,-4,0,0
9,4,MR,-1,Bienville Parish County,22013,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,bienville parish la,-4,-4,-4,0,0
9,4,MR,-1,Bossier Parish County,22015,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,bossier parish la,-4,-4,-4,0,0
9,4,MR,-1,Caddo Parish County,22017,-1,-1,121,-1,5,67,1.0,123,150,323,6.1,5.9,67,28,4,0,1,1,2,45,8,99,95,0,1,31,0,29,80,33,6,56,30,8,0,69,69,0,0,0,0,19,30,20,100,0,0,0,74,31,52,-1,-1,-1,-1,-1,LA,-1,-1,caddo parish la,31,69,31,0,0
9,4,MR,-1,Calcasieu Parish County,22019,-1,-1,138,-1,4,48,2.4,326,227,445,10.1,4.3,14,41,30,13,1,54,1,45,24,99,79,7,64,88,70,14,41,9,25,54,9,12,0,57,56,0,0,1,2,33,100,101,22,60,18,5,35,16,40,-1,-1,-1,-1,-1,LA,-1,-1,calcasieu parish la,43,57,43,0,0
9,4,MR,-1,Caldwell Parish County,22021,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,caldwell parish la,-4,-4,-4,0,0
9,4,MR,-1,Cameron Parish County,22023,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,cameron parish la,-4,-4,-4,0,0
9,4,MR,-1,Catahoula Parish County,22025,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,catahoula parish la,-4,-4,-4,0,0
9,4,MR,-1,Claiborne Parish County,22027,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,claiborne parish la,-4,-4,-4,0,0
9,4,MR,-1,Concordia Parish County,22029,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,concordia parish la,-4,-4,-4,0,0
9,4,MR,-1,De Soto Parish County,22031,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,de soto parish la,-4,-4,-4,0,0
9,4,MR,-1,East Baton Rouge Parish County,22033,-1,-1,10,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,east baton rouge parish la,-4,-4,-4,0,0
9,4,MR,-1,East Carroll Parish County,22035,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,east carroll parish la,-4,-4,-4,0,0
9,4,MR,-1,East Feliciana Parish County,22037,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,LA,-1,-1,east feliciana parish la,-4,-4,-4,0,0
